trade_no,signal_ts,entry_ts,exit_ts,direction,trigger,entry_price,stop_loss,take_profit,risk_distance,sl_method,exit_price,result,r_mult,mae_r,mfe_r,hold_bars,reason
1,2026-06-09 13:15:00+00,2026-06-09 13:30:00+00,2026-06-09 14:15:00+00,SHORT,REJECT_SMA20,1669.62,1680.99,1646.88,11.37,STRUCTURE,1646.88,WIN,2,0.96833773087071240106,5.0079155672823219,3,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
2,2026-06-09 14:30:00+00,2026-06-09 14:45:00+00,2026-06-09 17:45:00+00,SHORT,BREAKDOWN_10,1636.25,1677.3,1554.15,41.05,STRUCTURE,1642,TIME_LOSS,-0.14007308160779537150,-0.22484774665042630938,-0.05968331303288672351,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
3,2026-06-09 22:45:00+00,2026-06-09 23:00:00+00,2026-06-10 02:00:00+00,SHORT,BREAKDOWN_10,1639.01,1654.26,1608.51,15.25,STRUCTURE,1633.21,TIME_WIN,0.38032786885245901639,-0.18229508196721311475,0.39344262295081967213,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
4,2026-06-10 03:30:00+00,2026-06-10 03:45:00+00,2026-06-10 06:45:00+00,SHORT,REJECT_SMA20,1630.03,1640.93714285714285716,1608.21571428571428568,10.90714285714285716,ATR_1.2,1631.07,TIME_LOSS,-0.09535036018336607713,-0.33097576948264571002,0.09076620825147347726,12,4H bearish + 1H bearish + 15m momentum confirmation + REJECT_SMA20 + RSI 22-52
5,2026-06-10 08:30:00+00,2026-06-10 08:45:00+00,2026-06-10 11:45:00+00,SHORT,BREAKDOWN_10,1621.31,1643.68,1576.57,22.37,STRUCTURE,1619.07,TIME_WIN,0.10013410818059901654,-0.06660706303084488154,0.15422440768886902101,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
6,2026-06-10 17:15:00+00,2026-06-10 17:30:00+00,2026-06-10 20:30:00+00,SHORT,BREAKDOWN_10,1627.53,1653.5,1575.59,25.97,STRUCTURE,1628.66,TIME_LOSS,-0.04351174432036965730,-0.17520215633423180593,-0.03773584905660377358,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
7,2026-06-10 21:00:00+00,2026-06-10 21:15:00+00,2026-06-11 00:15:00+00,SHORT,BREAKDOWN_10,1617.89,1635.5,1582.67,17.61,STRUCTURE,1629.99,TIME_LOSS,-0.68710959681998864282,-0.90062464508801817149,-0.41680863145939806928,12,4H bearish + 1H bearish + 15m momentum confirmation + BREAKDOWN_10 + RSI 22-52
8,2026-06-12 09:15:00+00,2026-06-12 09:30:00+00,2026-06-12 12:15:00+00,LONG,BREAKOUT_10,1679.01,1665.98,1705.07,13.03,STRUCTURE,1665.98,LOSS,-1,-1.2210283960092095,-0.61320030698388334612,11,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
9,2026-06-12 14:45:00+00,2026-06-12 15:00:00+00,2026-06-12 18:00:00+00,LONG,BREAKOUT_10,1684.79,1653.45,1747.47,31.34,STRUCTURE,1667.04,TIME_LOSS,-0.56636885768985322272,-0.70612635609444798979,-0.44001276324186343331,12,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
10,2026-06-13 01:30:00+00,2026-06-13 01:45:00+00,2026-06-13 02:45:00+00,LONG,BREAKOUT_10,1671.83,1664.73,1686.03,7.10,STRUCTURE,1664.73,LOSS,-1,-1.3788732394366197,-0.57464788732394366197,4,4H bullish + 1H bullish + 15m momentum confirmation + BREAKOUT_10 + RSI 48-78
